Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Jalandhar,12069,Valid,Iron,,1621-01-01T00:00:00.000,31.0,75.0,"[31, 75]"
Jamkheir,12072,Valid,H6,,1866-01-01T00:00:00.000,18.75,75.33333,"[18, 75]"
Jartai,12074,Valid,L6,,1979-01-01T00:00:00.000,39.7,105.8,"[39, 105]"
Jelica,12078,Valid,LL6,,1889-01-01T00:00:00.000,43.83333,20.44167,"[43, 20]"
Jemlapur,12079,Valid,L6,,1901-01-01T00:00:00.000,,,"[None, None]"
Jesenice,51589,Valid,L6,,2009-01-01T00:00:00.000,46.42137,14.05217,"[46, 14]"
Jhung,12085,Valid,L5,,1873-01-01T00:00:00.000,31.3,72.38333,"[31, 72]"
Jiange,12086,Valid,H5,,1964-01-01T00:00:00.000,31.91667,104.91667,"[31, 104]"
Jianshi,12087,Valid,"Iron, IIIAB",,1890-01-01T00:00:00.000,30.80833,109.5,"[30, 109]"
Jilin,12171,Valid,H5,,1976-01-01T00:00:00.000,44.05,126.16667,"[44, 126]"
Jodiya,47362,Valid,L5,,2006-01-01T00:00:00.000,22.68,70.31333,"[22, 70]"
Jodzie,12173,Valid,Howardite,,1877-01-01T00:00:00.000,55.7,24.4,"[55, 24]"
Johnstown,12198,Valid,Diogenite,,1924-01-01T00:00:00.000,40.35,-104.9,"[40, -104]"
Jolomba,12199,Valid,LL6,,1974-01-01T00:00:00.000,-11.85,15.83333,"[-11, 15]"
Jonzac,12202,Valid,Eucrite-mmict,,1819-01-01T00:00:00.000,45.43333,-0.45,"[45, 0]"
Juancheng,12203,Valid,H5,,1997-01-01T00:00:00.000,35.5,115.41667,"[35, 115]"
Judesegeri,12207,Valid,H6,,1876-01-01T00:00:00.000,12.85,76.8,"[12, 76]"
Jumapalo,12209,Valid,L6,,1984-01-01T00:00:00.000,-7.71667,111.2,"[-7, 111]"
Junan,12210,Valid,L6,,1976-01-01T00:00:00.000,35.2,118.8,"[35, 118]"
Juromenha,12213,Valid,"Iron, IIIAB",,1968-01-01T00:00:00.000,38.74028,-7.27,"[38, -7]"
Juvinas,12214,Valid,Eucrite-mmict,,1821-01-01T00:00:00.000,44.71667,4.3,"[44, 4]"
Kaba,12218,Valid,CV3,,1857-01-01T00:00:00.000,47.35,21.3,"[47, 21]"
Kabo,12220,Valid,H4,,1971-01-01T00:00:00.000,11.85,8.21667,"[11, 8]"
Kadonah,12221,Valid,H6,,1822-01-01T00:00:00.000,27.08333,78.33333,"[27, 78]"
Kaee,12222,Valid,H5,,1838-01-01T00:00:00.000,27.25,79.96667,"[27, 79]"
Kagarlyk,12227,Valid,L6,,1908-01-01T00:00:00.000,49.86667,30.83333,"[49, 30]"
Kaidun,12228,Valid,CR2,,1980-01-01T00:00:00.000,15.0,48.3,"[15, 48]"
Kainsaz,12229,Valid,CO3.2,,1937-01-01T00:00:00.000,55.43333,53.25,"[55, 53]"
Kakangari,12230,Valid,K3,,1890-01-01T00:00:00.000,12.38333,78.51667,"[12, 78]"
Kakowa,12231,Valid,L6,,1858-01-01T00:00:00.000,45.13333,21.66667,"[45, 21]"
Kalaba,12232,Valid,H4,,1951-01-01T00:00:00.000,-6.83333,29.5,"[-6, 29]"
Kalumbi,12236,Valid,L6,,1879-01-01T00:00:00.000,17.83333,73.98333,"[17, 73]"
Kamalpur,12238,Valid,L6,,1942-01-01T00:00:00.000,26.03333,81.46667,"[26, 81]"
Kamiomi,12240,Valid,H5,,1913-01-01T00:00:00.000,36.04167,139.95667,"[36, 139]"
Kamsagar,12241,Valid,L6,,1902-01-01T00:00:00.000,14.18333,75.8,"[14, 75]"
Kandahar (Afghanistan),12243,Valid,L6,,1959-01-01T00:00:00.000,31.6,65.78333,"[31, 65]"
